Razão_Social;geom;Data_de_Ativação
MOTA COMÉRCIO VAREJISTA DE GÁS LIQUEFEITO DE PETRÓLEO LTDA - ME;-43.217375300000015,-22.109783200000003;05/2011
MOTO MERCANTIL CAMPISTA S/A;-41.2713495,-21.83115730000002;10/2004
MOTO ROYAL POSTO DE SERVIÇO LTDA;-43.27787779999999,-22.8304554;10/2004
M&P COMERCIO DE GÁS LTDA - ME;-43.3898986,-22.80380420000002;07/2013
MPH COMÉRCIO DE GÁS LTDA.;-42.183559200000005,-21.5415319;11/2010
MPR COMERCIO VAREJISTA DE GAS LIQUEFEITO DE PETROLEO LTDA - ME;-43.03246589999999,-22.876188999999997;09/2010
MONZA COMÉRCIO DE PETROLEO E DERIVADOS LTDA;-43.483057599999995,-22.740202300000014;10/2004
MR COMERCIO DE GLP LTDA - ME;-44.434368799999994,-22.471768300000015;03/2014
MRB - COMÉRCIO DE PRODUTOS AUTOMOTIVOS LTDA.;-43.2477201,-22.863638200000008;05/2006
MRC GAS LTDA ME;-43.1714061,-22.711046500000016;05/2010
M.R.P BARRA AUTO POSTO LTDA;-43.7068952,-22.2459149;10/2004
MS COMÉRCIO E TRANSPORTE DE GLP LTDA - ME.;-43.2905916,-22.8323623;11/2009
M.S. DE BRITO VENDA DE GÁS - ME;-43.410944400000005,-22.7354393;02/2013
M.S. TONIONI PINTO;-44.1294008,-22.5258879;05/2011
MSL COMÉRCIO DE COMBUSTÍVEIS LTDA.;-41.315678899999995,-21.75895290000002;03/2010
M.S.M. Serv. de Transp. Rod. de Carga em Geral Ltd;-43.292916600000005,-22.6953108;11/2008
MTM REVENDA DE GAS LTDA.;-43.00435770000001,-22.794163899999997;12/2009
MTR Transp Ltda;-43.302317200000005,-22.831058500000015;11/2012
MUCAJA COMÉRCIO DE GÁS LTDA. ME.;-43.601669,-22.67777010000001;02/2010
MULTGAS POSTO DE GASOLINA LTDA.;-43.218627899999994,-22.898636299999996;08/2012
MULTI MARCAS DEPÓSITO DE GÁS LTDA.;-43.3119903,-22.834639799999998;09/2010
MULTI POSTO CENTRO AUTOMOTIVO LTDA.;-43.3051292,-22.835719199999993;03/2008
Multi Rio Operações Portuárias S.A.;-43.2145636,-22.89288140000001;09/2009
MULTIGÁS DE ARARUAMA COMÉRCIO VAREJISTA DE GÁS LTDA;-42.297040200000005,-22.929228900000005;07/2009
MULTIPLA SG TERRAPLAN LOC MAQS EQUIP;-43.0037691,-22.820918499999998;11/2012
MUNDIALGÁS LTDA ME;-43.41817,-22.87402990000001;12/2010
Municipio de Mangaratiba;-44.04145739999999,-22.960436100000013;11/2013
MV REVENDA DE GÁS LTDA;-43.0618708,-22.832011600000005;02/2010
Metalúrgica Barra do Piraí S.A;-43.9344419,-22.49981250000002;06/2013
M-10 REVENDEDORA DE GAS - ME.;-43.3158855,-22.781958700000015;08/2010
M2W COMÉRCIO E TRANSPORTES DE GÁS GLP LTDA - ME;-43.0293764,-22.826402299999994;10/2012
N. A. COMÉRCIO DE GÁS LTDA;-42.3145191,-22.914313800000002;02/2011
N A N BARBOSA COM. GAS PORCIUNCULA;-42.04479130000001,-20.964766599999997;12/2010
N. DE OLIVEIRA DISTRIBUIDORA E TRANSPORTES DE PARATY - ME;-44.544252099999994,-23.017276099999997;02/2013
N. E. L. REVENDEDOR DE GÁS LTDA.;-43.322949,-22.84275190000001;08/2010
N. M. DA ROCHA OUVERNEY COMÉRCIO DE GÁS ME.;-42.53407959999999,-22.288726100000012;01/2010
N R DE INHAUMA DEPOSITO DE GAS LTDA ME;-43.2855996,-22.86207460000001;11/2008
N S GOMES COMÉRCIO DE GÁS N S GOMES COMERCIO DE GAS;-41.32667489999999,-21.72307740000002;09/2011
NA CARA DO GOL DISTRIBUIDORA DE GÁS LTDA.;-42.47651580000001,-22.91312050000001;06/2008
NACIONAL CAMPOS GAS PAR LTDA ME;-41.3229713,-21.77419720000002;07/2012
NACIONAL GÁS BUTANO DISTRIBUIDORA LTDA.;-41.7607604,-22.344123500000002;09/2004
NACIONAL GÁS BUTANO DISTRIBUIDORA LTDA.;-43.283359,-22.710448600000014;10/2004
NACIONAL GÁS BUTANO DISTRIBUIDORA LTDA.;-44.14221710000002,-22.56336310000001;10/2004
NACIONAL GÁS BUTANO DISTRIBUIDORA LTDA.;-43.57661889999999,-22.955782499999998;10/2004
NACIONAL GÁS BUTANO DISTRIBUIDORA LTDA.;-43.07665500000001,-22.822371200000003;10/2004
NACIONAL PARACAMBI COMÉRCIO DE GÁS LTDA.;-43.6980041,-22.54137730000002;07/2008
NAF ITACURUÇA POSTO DE ABASTECIMENTO LTDA.;-44.04161489999999,-22.945932400000007;01/2005
NAKATA TRANSPORTES LTDA-ME;-43.276944900000004,-22.65766620000001;07/2008
NAMORADO AUTO POSTO LTDA;-43.573503,-22.880771400000004;09/2004
NANDA GÁS LTDA ME;-43.47611810000001,-22.88267140000001;05/2011
NATÁLIA  GARCIA ALVES CURTY - ME;-42.605042999999995,-21.931451900000003;03/2011
NATO COMÉRCIO DE GÁS LTDA.;-42.3457935,-22.869292200000007;08/2010
NAYARA DEPOSITO DE GÁS LTDA;-43.2948536,-22.780612800000004;07/2009
NEIDE R SILVA REVENDEDORA DE GAS ME.;-43.33505079999999,-22.710542000000007;05/2010
NEO EXATA COM E DISTRIB DE COMBUSTIVEIS LTDA;-43.2948659,-22.792631300000007;10/2004
