Razão_Social;geom;Data_de_Ativação
VIEIRA DE GUAPI COMERCIO DE GAS LTDA - ME;-42.9899491,-22.535199;08/2014
VILA MAR COMERCIO DE GAS LTDA ME.;-43.60331230000001,-22.99395670000001;10/2010
VILA SONIA COMÉRCIO E REVENDA DE GÁS LTDA;-43.69749449999999,-22.745126900000017;10/2010
VILA UNIÃO REVENDEDORA DE GÁS LTDA ME;-43.38948909999999,-22.812199300000007;11/2010
VILART GAS LTDA;-43.13191359999998,-22.42133090000002;07/2009
VILCIMAR FERREIRA ECCARD;-42.1909452,-21.52860530000001;07/2009
VILMA SALDANHA SILVA - ME;-43.0142153,-22.81229930000002;08/2013
VINICIUS LOPES DE OLIVEIRA ME;-43.3935822,-22.802059999999997;10/2010
VINTE E OITO DE OUTUBRO COM E TRANSP DE GÁS LTDA ME;-44.11706900000002,-22.533020600000018;08/2007
VINTE E SEIS NOVEMBRO COMÉRCIO DE GÁS  ÁGUA E AGROPECUARIA LTDA.;-44.041942500000005,-22.495978000000015;09/2010
VILA VALVERDE COMERCIO DE GAS GLP LTDA.;-43.527309499999994,-22.773030000000006;02/2010
VIP GÁS DISTRIBUIDORA  LTDA.;-43.3337021,-22.978471100000018;03/2010
VISÃO COMÉRCIO DE COMBUSTÍVEIS LTDA.;-41.308845,-21.709409600000015;03/2006
VITAL GÁS COMÉRCIO E TRANSPORTE DE GÁS LTDA.;-42.991871,-22.886576900000016;02/2010
VITÃO COMÉRCIO E DISTRIBUIDORA DE GÁS LTDA;-42.0158007,-22.835836000000004;02/2011
VITOR CASTELA POSTO DE GASOLINA E AFINS LTDA;-43.0188403,-22.817726400000012;09/2004
VITOR GAS REVENDA DE GLP LTDA;-43.0173741,-22.96470340000001;04/2010
VITORIA REAL DISTRIBUIDORA DE GAS LTDA. - ME.;-43.3174103,-22.721248500000012;02/2010
VIVAS & NEWMANN LTDA;-43.0311609,-22.642474500000006;01/2005
VIVIANO AUTO POSTO COMERCIAL LTDA;-44.13326320000001,-22.557663399999996;10/2004
VIX LOGÍSTICA SA;-41.8188266,-22.38694580000001;04/2009
VIX LOGÍSTICA SA;-43.2574791,-22.867415000000012;05/2013
VJC COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA;-41.339645000000004,-21.742737300000012;10/2004
V.L. DIAS FIGUEIRA DERIVADOS DE PETROLEO ME;-41.47515840000001,-21.47770320000001;09/2004
VLG LOUZADA POSTO DE REVENDA DE GLP;-43.3045671,-22.58178410000001;08/2011
VLP REVENDA E TRANSPORTES DE GAS LTDA - ME;-42.36556800000001,-22.890333700000017;08/2013
VMC COMÉRCIO DE GÁS E AGUA LTDA.;-44.09461290000001,-22.507767400000006;04/2012
V.M.RAMOS E CIA LTDA;-44.19054030000001,-22.56284080000001;04/2012
VNLCL DISTRIBUIDORA DE GÁS LTDA;-43.1717968,-22.526073600000007;09/2009
VOLDAC DISTRIBUIDORA DE AGUA LTDA ME;-44.0924432,-22.4883964;11/2011
VOLTAK COMÉRCIO DE GÁS LTDA;-44.128716900000015,-22.526882800000003;12/2009
VOTORANTIM CIMENTOS SA;-44.09461290000001,-22.507767400000006;11/2010
VOTORANTIM CIMENTOS SA;-42.26558,-21.904429300000025;01/2013
Votorantim Cimentos S.A.;-43.715901099999996,-22.753080199999996;06/2013
VOTORANTIM COMERCIO DE GAS LTDA ME.;-43.5383298,-22.8565095;04/2010
VOTORANTIM SIDERURGIA S/A;-44.19051210000001,-22.52639910000002;02/2008
VOTORANTIM SIDERURGIA S/A;-44.5035528,-22.486011700000017;11/2014
VOVÓ JOVELINA DEPÓSITO DE GÁS LTDA. - ME;-43.4662706,-22.848976300000004;07/2010
VR COMÉRCIO DE GÁS LTDA.;-44.10791890000001,-22.49661320000001;07/2010
VRX COMÉRCIO DE GÁS GLP LTDA EPP;-44.0993057,-22.513542400000013;01/2011
W M DO LOCAL COMERCIO E SERVICOS LTDA;-43.302867,-22.88633510000001;10/2004
W. MENDES DISTRIBUIDORA DE GÁS LTDA.;-43.40329390000001,-22.8075328;11/2009
W R DOS REIS COMÉRCIO DE GAS LIQUEFEITO ME;-42.2027269,-22.481990300000014;11/2009
W S TELES COMÉRCIO DE GÁS ME;-43.60619520000001,-22.678596499999998;08/2010
W. VERLIGUE DE LIMA FERREIRA COMÉRCIO DE GÁS;-43.363003899999995,-22.824380900000005;07/2009
W.A. MACHADO DE SOUZA COMERCIO DE GAS LP - EPP;-43.008198699999994,-22.862744899999996;11/2013
WAFAROGA COMERCIO DE DERIVADOS DE PETROLEO LTDA ME;-41.3135045,-21.74932850000001;09/2004
WAGNA MARTINS CARVALHO 77704851772;-43.342348599999994,-22.702982600000023;02/2012
WAGNER M.ALCEBIADES & CIA LTDA - ME;-41.105371100000006,-21.48306010000001;09/2010
WANDER GÁS COMÉRCIO LTDA ME;-43.3233767,-22.843227299999995;01/2010
WASLAM CRISTIANO DOVAHY DE MELO DISTRIBUIDORA DE GÁS ME.;-43.62202529999999,-22.691536100000004;02/2010
WELTON E CARINA COMÉRCIO DE GÁS LTDA. - EPP;-43.6138675,-22.677356800000013;06/2010
WER REVENDEDORA DE GAS LTDA ME.;-43.37973670000001,-22.731732199999996;05/2012
WEST GUARATIBA REVENDEDORA DE GÁS LTDA.;-43.60331230000001,-22.99395670000001;12/2009
WEST POINT CAR POSTO DE ABASTECIMENTO LTDA;-43.554629899999995,-22.876366499999996;10/2004
WH SANCHEZ REVENDA DE GÁS LTDA ME;-43.040767100000004,-22.815735800000006;01/2011
WH 4 AUTO POSTO LTDA;-41.8852823,-21.212751700000013;10/2004
WILLIAM PIMENTA SILVA COMERCIO DE GAS - ME;-43.6606463,-22.643997800000015;10/2008
WILSON SANDRO E ALAN COM.GLP DE TRANSPORTES EM GERAL LTDA. ME;-43.321917000000006,-22.80355900000001;02/2010
WILSON  SONS LOGISTICA LTDA;-44.0959322,-22.51256350000001;12/2013
WINNER COMÉRCIO DE GÁS LTDA. - ME.;-43.2603713,-22.839433600000014;07/2007
WJ COMÉRCIO DE GÁS LTDA - ME;-43.4274002,-22.811160199999993;02/2011
WJR REVENDA DE GÁS LTDA;-43.024889,-22.802566900000016;05/2011
WK COMERCIO VAREJISTA DE GAS LTDA - EPP;-43.437903600000006,-22.8974893;06/2013
WMS SUPERMERCADOS DO BRASIL LTDA;-43.2798632,-22.835888900000008;05/2014
WMS WORLD MARINE SERVICE;-43.22441859999999,-22.88605240000002;05/2008
WSR EXPRESS COMÉRCIO DE GÁS LTDA ME;-43.053445100000005,-22.806496600000017;02/2010
WW MIRANDA COMÉRCIO DE GÁS LTDA.;-42.2025453,-22.48421770000002;09/2009
XEREM COMERCIO DE GAS LTDA.;-43.3062467,-22.588475800000015;06/2010
XERIFINHO POSTO DE COMBUSTIVEL LTDA;-42.9983178,-22.8761502;09/2013
XES - COMERCIO DE GAS LTDA.;-43.6396606,-22.8889575;02/2010
XODO POSTO VENDA DE GAS LTDA;-43.3996264,-22.764539100000018;03/2011
YAGOS GAS COMERCIO LTDA.;-43.700723800000006,-22.9623607;05/2010
YASMAR COMÉRCIO DE GÁS LTDA - ME.;-43.63613029999999,-22.9343967;10/2010
YOLANDA NOVA COMERCIO DE GAS LTDA ME;-43.24602939999999,-22.8560076;12/2011
ZELIOGAS DISTRIBUIDORA DE GAS DE MACUCO LTDA - ME.;-42.25263499999999,-21.98038990000001;06/2010
ZELY DE SÁ ALVES COMERCIO DE GAS LP ME;-43.07839900000001,-22.842125700000008;02/2013
ZET RIO - SERVICOS DE CONCRETAGEM LTDA;-43.27402330000001,-22.81290440000002;12/2013
ZIP AUTO POSTO LTDA.;-43.35722680000001,-22.892257400000013;10/2004
ZIRANLOG TRANSPORTES LTDA;-43.2760099,-22.813453300000013;07/2014
ZITA REVENDA DE GÁS PEÇAS ACESSÓRIOS E ELETROD. LTDA;-43.44334490000001,-22.885286700000012;12/2009
18 DE JULHO REVENDEDORA DE GÁS LTDA ME.;-43.708524000000004,-22.746227799999996;07/2009
2R COMBUSTÍVEIS LTDA.;-44.1113889,-22.500937000000004;09/2010
3R TRANSPORTES LTDA.;-43.3003842,-22.68051609999999;11/2014
LUIZ C L DA COSTA DISTRIBUIDORA DE GÁS ME;-42.398368852608584,-22.64664503242987;12/2010
POSTO DE COMBUSTÍVEL SILVA JARDIM LTDA;-42.331528379701325,-22.517502908982536;01/2005
POSTO DE GASOLINA TOLEDO LTDA;-42.46594003756582,-22.639392503834493;09/2004
REVENDEDORA E TRANSPORTADORA PAN DO GÁS LTDA;-42.41921136367392,-22.647631107472737;02/2009
SILVA JARDIM COMÉRCIO DE GÁS LTDA;-42.404718695374456,-22.646617881850045;08/2010
M J A MOURA ME;-42.40613690219296,-22.177989813891838;06/2009
MASTER FRIBURGO COMERCIAL LTDA;-42.421472462436874,-22.161345292275822;07/2009
Packseven Indústria e Comércio Ltda;-42.301521406626705,-22.239261223367293;02/2012
POSTO BARRA ALEGRE LTDA;-42.316211841803245,-22.24450835416478;09/2004
POSTO DE GASOLINA RENASCER DE BOM JARDIM LTDA;-42.46517440892673,-22.176993975200407;05/2007
POSTO E SERVICOS ENCANTADO DE BOM JARDIM LTDA;-42.43566460220404,-22.160928505988213;10/2004
POSTO DE COMBUSTIVEL SINAI LTDA;-42.36639202061169,-22.20217962978724;10/2010
NOVA CALIFORNIA COMERCIO DE GAS LTDA - ME;-43.8216061,-22.46481510000002;11/2013
OG E. BRANDÃO JUNIOR - ME.;-43.8377166,-22.4582632;10/2008
POSTO AMARELINHO B. P. LTDA. - EPP.;-43.8302076,-22.46883970000001;11/2012
POSTO BELVEDERE DA BARRA LTDA;-43.7708787,-22.430595999999994;10/2004
POSTO CARBELE LTDA;-43.8262473,-22.469090700000013;10/2004
POSTO DE COMBUSTIVEIS JALISCO LTDA;-43.828826500000005,-22.465721700000014;10/2004
POSTO DE GASOLINA ESTAÇÃO 3 ESTRELAS LTDA.;-43.7708787,-22.430595999999994;07/2007
POSTO DE GASOLINA OERTEL E FONSECA LTDA;-43.8227503,-22.47073660000001;04/2007
POSTO NOVA BARRA LTDA.;-43.81778700000001,-22.4864231;01/2005
POSTO POCINHO DE BARRA DO PIRAÍ LTDA;-43.769225899999995,-22.42909660000002;09/2004
POSTO RIO MAR LTDA.;-43.82955270000001,-22.467311399999996;10/2004
POSTO SAO VICENTE DA BARRA LTDA;-43.8180734,-22.480068299999996;10/2004
POSTO ZAMBELI LTDA;-43.8156277,-22.457077400000014;10/2004
POSTOS COLORADO LTDA;-43.8252302,-22.46220200000002;10/2004
PRIMO TRANSPORTE E COMERCIO DE GAS LTDA;-43.83212390000001,-22.464696600000007;04/2010
RBC  COMÉRCIO  DE GLP LTDA - ME;-43.8180734,-22.480068299999996;04/2011
TURSAN TURISMO SANTO ANDRÉ LTDA;-43.8131146,-22.45355270000001;06/2012
VIACAO BARRA DO PIRAÍ TURISMO LTDA;-43.808047099999996,-22.45699830000001;03/2012
VIAÇÃO NOSSA SENHORA APARECIDA LTDA;-43.8201214,-22.45848830000001;05/2013
Viação Santo Antonio e Turismo LTDA;-43.804744600000014,-22.45626170000001;04/2012
POSTO RIO MAR LTDA.;-43.82918000000001,-22.46611000000001;
AUTO POSTO MARACANA EIRELI - EPP;-43.816120000000005,-22.489720000000002;
POSTO DE GASOLINA JAVA LTDA;-43.816120000000005,-22.489720000000002;
POSTO BARRA DO PIRAÍ LTDA.;-43.822700000000005,-22.47081000000001;
MANILHÃO 207 COMÉRCIO DE GÁS LTDA.;-42.9268261,-22.774432100000002;06/2008
MANITA COMERCIO E TRANSPORTE DE GAZ LTDA ME.;-42.9366516,-22.780983900000006;02/2010
Maravilha Auto Onibus Ltda;-42.8228389,-22.907639899999996;05/2012
MARIA DA CONCEIÇÃO ALMEIDA DA COSTA POSTO DE REVENDA DE GAS LP.;-42.85980769999999,-22.75242610000002;12/2010
MG COSTA GAS;-42.938918400000006,-22.769854700000014;08/2013
MORADA DO SOL REVENDA DE GAS GLP LTDA;-42.9351433,-22.72525860000001;12/2009
ÓTIMA PARADA DERIVADOS DE PETRÓLEO LTDA.;-42.8643167,-22.757002500000016;05/2005
P. P. MORAIS POSTO DE GÁS;-42.857579400000006,-22.75068370000001;03/2010
PLANALTO POSTO DE REVENDA E COMERCIALIZACAO DE GAS LIQUEFEITO DE PETROLEO LTDA - ME;-42.8476654,-22.742541300000013;01/2014
POSTO CHEFÃO CAMINHONEIRO DE ITAMBI LTDA;-42.782357600000005,-22.67415970000002;06/2010
POSTO DE GASOLINA JOMAR LTDA.;-42.8228349,-22.907639600000003;09/2004
POSTO DE GASOLINA TERNURA DE ITABORAÍ LTDA.;-42.83595639999999,-22.739239299999998;10/2007
POSTO DUQUE MANILHA LTDA;-42.941582700000005,-22.78274500000001;10/2004
POSTO JUANOTO LTDA;-42.9178663,-22.768953600000003;10/2004
POSTO OURO DE MANILHA LTDA;-42.91790089999999,-22.76893220000002;09/2004
POSTO VENDA DAS PEDRAS LTDA;-42.8422937,-22.739930199999996;03/2005
QUARTZO CONCRETO LTDA;-42.8368991,-22.7375241;06/2008
REVENDEDORA DE GÁS AREAL LTDA;-42.838883900000006,-22.737177100000018;02/2011
RIO ITA LTDA;-42.8429903,-22.740354300000018;06/2008
RIO ITA LTDA;-42.8211408,-22.725747300000005;01/2013
RYV REVENDEDORA DE GAS LTDA ME;-42.9301409,-22.78313690000001;11/2012
SC SILVA COMÉRCIO E TRANSPORTE DE GÁS LTDA.;-42.8643167,-22.757002500000016;01/2010
SIMONE FRAZÃO DA SILVEIRA COMÉRCIO DE GÁS;-42.89336599999999,-22.74650310000001;11/2009
THOR GRANITOS E MÁRMORES LTDA;-42.95070629999999,-22.794292200000015;05/2008
VAGALUME REVENDORA DE GÁS LTDA;-42.882060900000006,-22.76725540000001;05/2011
VIA GÁS REVENDEDORA DE GÁS GLP LTDA.;-42.9398219,-22.77961300000002;09/2010
VIAGAS LTDA - ME;-42.87341660000001,-22.752118900000006;08/2013
WALLEX COMERCIO DE GAS LTDA.;-42.9330024,-22.755752800000014;02/2010
POSTO DE COMBUSTIVEIS TREVO DE MANILHA LTDA;-42.92112999999999,-22.770030000000013;
MARINS & FILHOS LTDA;-42.846329999999995,-22.742320000000014;
AUTO POSTO TOP SHOW LTDA - ME;-42.84870000000001,-22.742659999999994;
POSTO 2001 LTDA.;-42.856290000000016,-22.74594000000001;
M. P. M. OLIVEIRA GÁS;-43.0211964,-22.934075100000015;07/2005
MASTER GÁS COMÉRCIO E TRANSPORTE DE GÁS LTDA.;-43.0494474,-22.87847150000001;05/2007
MJX POSTO DE GASOLINA E SERVIÇOS LTDA;-43.02781430000001,-22.953711600000013;06/2013
NELSON LUIZ DA SILVA TITO;-42.98753140000001,-22.911097800000004;03/2010
NIT GÁS COMÉRCIO E TRASNPORTE DE GÁS LTDA;-43.0786154,-22.897944400000014;05/2011
NIT SERVICE POSTO E SERVIÇOS LTDA.;-43.101394400000004,-22.8600949;01/2005
NITGÁS DO BRASIL POSTO DE GÁS NATURAL VEICULAR LTDA.;-43.101114300000006,-22.880357099999998;10/2006
PALMEIRAS COMERCIO E TRANSPORTE DE GAS LP  LTDA - ME;-43.0867632,-22.874840100000018;09/2013
PETROBRAS DISTRIBUIDORA S.A.;-43.1164382,-22.889345100000007;09/2004
PETROBRAS DISTRIBUIDORA S.A.;-43.1072965,-22.90266360000002;09/2004
POSTO DE ABASTECIMENTO DOS GERANIOS LTDA;-43.0357776,-22.94924270000001;10/2004
POSTO DE GASOLINA DOUTOR MARCH LTDA;-43.0961357,-22.86102809999999;10/2004
POSTO DE GASOLINA SANTA ROSA DE ICARAÍ LTDA.;-43.1050179,-22.898568500000014;02/2008
POSTO DE SERVICO BRASIL LTDA;-43.1144269,-22.88905310000001;10/2004
POSTO ECOLÓGICO NORONHA TORREZÃO LTDA;-43.0981994,-22.891048400000017;09/2004
POSTO FAGUNDÃO LTDA.;-43.1129382,-22.899994799999998;10/2004
POSTO GROTAO LTDA;-43.058997000000005,-22.9398828;10/2004
POSTO MARECHAL 312 COMBUSTÍVEIS LTDA.;-43.1164382,-22.889345100000007;08/2007
POSTO MONSENHOR ESCRIVA LTDA;-43.10364950000001,-22.880890800000007;09/2009
POSTO MONZA LTDA;-43.0473346,-22.940061699999994;09/2004
POSTO NITEROI 400 LTDA;-43.08501880000001,-22.916754999999995;10/2004
POSTO SANTA ROSA LTDA;-43.0923985,-22.899430800000008;10/2004
POSTO SILVERSTONE LTDA;-43.03850150000001,-22.895290200000012;10/2004
POSTO VIA PONTE LTDA;-43.11494429999999,-22.887789600000012;10/2004
REAL OCEANICO POSTO DE GASOLINA LTDA - ME;-43.05898349999999,-22.939896499999996;11/2012
REDE OSÓRIO'S 410 DE NITERÓI COMÉRCIO DE GNV LTDA;-43.085016299999985,-22.91675200000001;03/2008
SÃO BENTO DE ITAIPU AUTO POSTO LTDA;-43.0163597,-22.942973900000016;10/2004
SUPERGASBRAS ENERGIA LTDA;-43.0937352,-22.861805099999998;01/2006
TRANSPORTES PEIXOTO LTDA;-43.0805298,-22.88144490000002;12/2012
TRANSTURISMO RIO MINHO LTDA;-43.1152423,-22.8869585;06/2008
TRANSTURISMO RIO MINHO LTDA;-43.1159594,-22.88701340000001;04/2010
TREVO DO OURO POSTO DE SERVIÇOS LTDA;-42.9718724,-22.906460900000006;08/2013
Viação Pendotiba SA;-42.9915018,-22.912245599999995;11/2009
VITERBO EMPREENDIMENTOS LTDA;-43.1131799,-22.901000100000008;06/2013
WMS SUPERMERCADOS DO BRASIL LTDA;-43.10396699211249,-22.858168560078198;01/2011
AUTO SERVIÇO SALESIANOS LTDA;-43.09837000000001,-22.902640000000005;
BRASIL 352 POSTO DE SERVIÇOS LTDA.;-43.09808,-22.876690000000004;
REAL OCEANICO POSTO DE GASOLINA LTDA - ME;-43.06441999999999,-22.928830000000016;
POSTO NOVO RIO LTDA;-43.106710000000014,-22.874480000000005;
POSTO DE GASOLINA LORD DE ICARAI LTDA;-43.10629999999999,-22.907520000000005;
POSTO DE LUBRIFICAÇAO FUSAO 75 LTDA;-43.105689999999996,-22.90405000000002;
SCAL - SERVIÇOS  COMBUSTIVEIS E ACESSÓRIOS LTDA;-43.11069,-22.881410000000017;
COMERCIAL CHARITAS DE PETROLEO LTDA;-43.09456999999999,-22.922679999999996;
LAVA RÁPIDO AMERICANO LTDA.;-43.09212,-22.88132000000002;
AUTO SERVICO JANSEN DE MELO LTDA;-43.114940000000004,-22.88816;
POSTO IMIGRANTES LTDA;-43.094869999999986,-22.881230000000002;
POSTO DE GASOLINA ARARI LTDA;-43.111609999999985,-22.885650000000012;
SERVACAR COMÉRCIO SERVIÇOS E REPRESENTAÇÕES LTDA;-43.10520000000002,-22.89879;
CIA MERCANTIL ITAIPAVA ACESSÓRIOS DE AUTOMÓVEIS;-43.03316,-22.88773000000002;
POSTO JCB LTDA;-43.090469999999996,-22.88989000000001;
BILL STOP COMBUSTIVEIS LTDA;-43.034000000000006,-22.944850000000013;
CENTRO AUTOMOTIVO QUATRO VENTOS DE ICARAÍ LTDA.;-43.10562999999999,-22.903980000000015;
COLINA - POSTO DE SERVIÇOS AUTOMOTIVOS LTDA;-43.0482,-22.915960000000016;
AUTO POSTO DOMINGUES DE SA LTDA.;-43.10562999999999,-22.903980000000015;
POSTO DE GASOLINA RELAX LTDA;-43.101220000000005,-22.86016;
CARLAN OLEO E COMBUSTIVEL LTDA;-43.0821,-22.88118000000001;
POSTO JOAO BRASIL LTDA;-43.101110000000006,-22.880360000000014;
POSTO SANTA ROSA LTDA;-43.10097,-22.90110000000001;
UNIVERSITÁRIO AUTO POSTO LTDA;-43.11327,-22.893630000000016;
AUTO SERVIÇO CACHOEIRA LTDA;-43.09158,-22.920830000000013;
POSTO DE GAS MEI LTDA;-43.102700000000006,-22.861400000000017;
POSTO SAO BENTO LTDA.;-43.10562999999999,-22.903980000000015;
DARIL POSTOS DE SERVIÇOS LTDA;-43.10331999999999,-22.881050000000005;
FERREIRA DA SILVA E CIA LTDA;-43.11844999999999,-22.893150000000002;
POSTO ALAMEDA LTDA;-43.10535999999999,-22.880960000000005;
POSTO DE GASOLINA MONCAR LTDA;-43.11043999999999,-22.899490000000007;
IRMÃO FIDALGO LTDA.;-43.10378999999999,-22.88094999999999;
POSTO LS LTDA;-43.11330000000001,-22.894550000000006;
IRMAOS TORRES E JUNIOR LTDA;-43.10548000000001,-22.898520000000012;
IATE CLUB BRASILEIRO;-43.105030000000006,-22.914560000000016;
POSTO OCEANICO LTDA;-43.0482,-22.915960000000016;
CIA MERCANTIL ITAIPAVA ACESSÓRIOS DE AUTOMÓVEIS;-43.03316,-22.88773000000002;
POSTO  DE SERVIÇOS  FONSECA  DE NITEROI LTDA;-43.08439,-22.881509999999995;
BATALHA 1000 POSTO E SERVIÇOS LTDA;-43.067779999999985,-22.908630000000016;
LUMAR VILA CAVA COMERCIO VAREJISTA GAS LTDA.;-43.6186736,-22.836953800000014;09/2010
LURICA IGUAÇÚ DISTRIBUIDORA DE GÁS LTDA.;-43.418441,-22.717989100000008;02/2006
M. J. DOS S. PIMENTEL - VENDA DE GÁS;-43.580948000000014,-22.879669600000003;10/2011
MAKRO ATACADISTA S/A.;-43.42774330000001,-22.741413400000017;09/2004
MEGA NOVA IGUAÇU POSTO DE ABASTECIMENTO LTDA.;-43.5163243,-22.77197560000002;09/2005
MORAES E ELIAS AUTO POSTO DE SERVIÇOS LTDA.;-43.4050441,-22.683279100000014;07/2006
MRL COMERCIO DE GAS GLP LTDA ME;-43.5173249,-22.736843900000018;02/2013
N. M. VERSIANI DE LIMA COM. DE GÁS - ME.;-43.483093100000005,-22.7534524;07/2010
NACIONAL GÁS BUTANO DISTRIBUIDORA LTDA.;-43.4215586,-22.761182500000018;10/2004
NACIONAL GÁS DO  KM 32 COMÉRCIO VAREJISTA DE GÁS LIQUEFEITO DE PETRÓLEO LTDA.;-43.5349404,-22.85284660000001;05/2010
NOVA IGUAÇU GNV - POSTO DE GASOLINA LTDA.;-43.45511570000001,-22.754921500000005;04/2009
PAULO JOAO DA SILVA REVENDEDOR DE GAS - ME;-43.454827200000004,-22.693244100000015;03/2010
POSTO DE COMBUSTÍVEIS POINT DE NOVA IGUAÇU LTDA.;-43.5349404,-22.85284660000001;05/2008
POSTO DE GÁS NATURAL LAMAÇÃES LTDA;-43.472868999999996,-22.73909700000001;08/2013
POSTO DE GASOLINA AMIGAO DA DUTRA LTDA;-43.4192401,-22.763252500000018;10/2004
POSTO DE GASOLINA BAR E RESTAURANTE IMPERATRIZ LTDA.;-43.4730947,-22.739080500000014;09/2006
POSTO DE GASOLINA DANIELE DE NOVA IGUAÇU LTDA;-43.4787678,-22.7602841;10/2004
POSTO DE GASOLINA DO CAPITÃO NA POSSE LTDA;-43.4630644,-22.726417500000007;10/2004
POSTO DE GASOLINA DO NETINHO LTDA;-43.444398500000005,-22.747314300000003;09/2004
POSTO DE GASOLINA MARIA EDUARDA LTDA;-43.460890600000006,-22.718757100000005;10/2004
POSTO DE GASOLINA QUINTELLA LTDA;-43.4376522,-22.70696380000001;10/2004
POSTO DE GASOLINA REI DE MESQUITA LTDA;-43.432719800000015,-22.772932400000002;10/2004
POSTO DE GASOLINA REI DE NOVA IGUAÇU LTDA;-43.48839600000001,-22.763798100000002;10/2004
POSTO DE GASOLINA VASCO GAMA SOARES LTDA;-43.5153512,-22.6614654;09/2004
POSTO DE GASOLINA VIA LIGHT D' IGUACU LTDA;-43.4436572,-22.75794270000001;10/2004
POSTO DE GASOLINA VPL 2004 LTDA;-43.5349404,-22.85284660000001;10/2004
POSTO DE GNV SERVAUTO II 2007 LTDA.;-43.51907520977258,-22.742204710383895;01/2011
POSTO E BAR BARAO LTDA;-43.4569349,-22.742762100000014;10/2004
POSTO LIGHT HIGHWAY LTDA;-43.440155399999995,-22.76053040000001;10/2004
POSTO LUANDA DE IGUAÇU LTDA;-43.461120300000005,-22.7189906;10/2004
POSTO PAIVA DE COMBUSTIVEIS EIRELI;-43.44756399999999,-22.708627000000014;01/2015
POSTO SAO MIGUEL ARCANJO LTDA;-43.429115200000005,-22.708490900000015;05/2012
R R GÁS E ÁGUA LTDA. - ME;-43.4911033,-22.74290630000001;05/2010
REVENDEDORA DE GÁS MÁXIMO DE IGUAÇU LTDA;-43.4168654,-22.75922380000001;06/2007
RR DO PARQUE DA BIQUINHA DIST. DE GAS LTDA;-43.5230689,-22.709749000000013;10/2008
SALUTRAN SERVIÇO DE AUTO TRANSPORTE LTDA;-43.5349404,-22.85284660000001;01/2012
SARDINHA COMERCIO VAREJISTA DE BOTIJAO DE GAS E BEBIDAS LTDA ME.;-43.5163412,-22.726879500000017;11/2010
SENDAS DISTRIBUIDORA S/A;-43.3940839,-22.800461300000002;11/2005
SONAP SOCIEDADE NACIONAL DE PETROLEO LTDA;-43.408881599999994,-22.76928970000002;10/2004
TINGUA GÁS COMÉRCIO LTDA.;-43.575303899999994,-22.791181400000013;02/2010
TITAGÁS LTDA ME;-43.47004900000001,-22.728836000000005;07/2008
TOP GÁS COMÉRCIO DE GÁS LTDA.;-43.4556735,-22.73399950000001;01/2005
transportadora tingua;-43.463074199999994,-22.728334699999998;09/2009
UNIGAS COMÉRCIO VAREJISTA DE GÁS LP LTDA.;-43.46770190000002,-22.697891500000022;02/2010
VERA LUCIA DOS SANTOS BARCELLOS GÁS;-43.5276468,-22.77039000000001;12/2009
POSTO PORTAL DA POSSE LTDA.;-43.46136,-22.718750000000018;
POSTO DE GASOLINA TIO LUIZ LTDA.;-43.47822,-22.738010000000017;
AUTO POSTO DE ABAST. DE VEICULO DANIELE LTDA;-43.456710000000015,-22.746070000000003;
AUTO POSTO JUNINHO LTDA.;-43.34784000000001,-22.87090000000001;
POSTO O BEM AMADO IGUAÇU LTDA;-43.409450000000014,-22.780700000000017;
BOX 1000 POSTO DE SERVIÇOS LTDA;-43.441349999999986,-22.75053000000002;
POSTO VIP LTDA;-43.45627999999999,-22.75957;
CARREFOUR COMERCIO E INDUSTRIA LTDA;-43.43113000000002,-22.758000000000013;
REALEZA DE IGUAÇU COMB. E PNEUS LTDA;-43.45676000000001,-22.747139999999998;
POSTO BJ COMÉRCIO DE COMBUSTÍVEIS LTDA;-42.42709161325259,-22.163257687763473;08/2009
POSTO BJ COMÉRCIO DE COMBUSTÍVEIS LTDA;-42.42732999999999,-22.163280000000015;
POSTO IMPACTO DE CAMPOS COMBUSTIVEIS E LUBRIF. LTDA;-41.32744999999999,-21.75418000000001;
IRMÃOS THURLER LTDA;-42.51955999999999,-22.23345000000001;
PRIMEIRÃO DE RESENDE COMÉRCIO DE COMBUSTÍVEIS E LUBRIFICANTES LTDA.;-44.4352325,-22.459433700000012;09/2008
AUTO POSTO DE SERVIÇOS ELITE DE MADUREIRA LTDA;-43.34271000000001,-22.87321;
POSTO DE GASOLINA LR LTDA;-43.39035000000001,-22.887440000000005;
POSTO E GARAGE FÁTIMA LTDA;-43.278579999999984,-22.88498;
POSTO RFD LTDA;-43.22447,-22.88619000000001;
AUTO POSTO BACAXA SAQUAREMA LTDA;-42.47442,-22.90203;
AUTO POSTO HAMMERSCHLAG DE TANGUÁ LTDA;-42.92881999999999,-22.774279999999997;
J. F MELO COMBUSTÍVEL LTDA;-41.277440000000006,-21.828040000000016;
LAP COMERCIO DE PETROLEO LTDA;-41.62545999999999,-21.49496000000002;
POSTO E GARAGEM FRAZÃO LTDA;-43.346361,-22.871780000000005;
COOP DE CONSUMO DOS MOTORISTAS DE N. FRIBURGO LTDA;-42.537223000000004,-22.254575;
J. C. N. J. COMÉRCIO DE  COMBUSTÍVEIS LTDA. ME.;-41.32227000000001,-21.72745500000001;
